"subject","list","block_order","starting_lang","lang_switch","item_number","label","cs","word_order","condition","mlwo","mlwo_condition","cwh","cwh_condition","adj_type","word_number","word","tokenized_word","rt","word_surprisal","word_length","rt_by_length","response","continue","exit","verb","sentence","total_surprisal","subj_mean_rt","subj_sd_rt","rt_upperbound","eng_prof","span_prof","cs_own_speech","med_split_span_prof","centered_span_prof"
"1",1,"EngSpan","English","English --> Spanish",164,"eng8g","CS","NAdj","CS_NAdj","notMLWO","CS_notMLWO","notCWH","CS_notCWH","Preferred",1,"A",NA,285,NA,1,285,"Go","continue","no","reads","A librarian reads a magazine roja durante el almuerzo.",NA,494.5210526,255.8732463,767.619739,76.67,88.89,"Yes","high_proficiency",19.86785714
"1",1,"EngSpan","English","English --> Spanish",164,"eng8g","CS","NAdj","CS_NAdj","notMLWO","CS_notMLWO","notCWH","CS_notCWH","Preferred",2,"librarian"," l_ibrarian",716,12.714737,9,79.55555556,"Go","continue","no","reads","A librarian reads a magazine roja durante el almuerzo.",71.48224641,494.5210526,255.8732463,767.619739,76.67,88.89,"Yes","high_proficiency",19.86785714
"1",1,"EngSpan","English","English --> Spanish",164,"eng8g","CS","NAdj","CS_NAdj","notMLWO","CS_notMLWO","notCWH","CS_notCWH","Preferred",3,"reads"," reads",269,7.1898546,5,53.8,"Go","continue","no","reads","A librarian reads a magazine roja durante el almuerzo.",71.48224641,494.5210526,255.8732463,767.619739,76.67,88.89,"Yes","high_proficiency",19.86785714
"1",1,"EngSpan","English","English --> Spanish",164,"eng8g","CS","NAdj","CS_NAdj","notMLWO","CS_notMLWO","notCWH","CS_notCWH","Preferred",4,"a"," a",727,1.5301584,1,727,"Go","continue","no","reads","A librarian reads a magazine roja durante el almuerzo.",71.48224641,494.5210526,255.8732463,767.619739,76.67,88.89,"Yes","high_proficiency",19.86785714
"1",1,"EngSpan","English","English --> Spanish",164,"eng8g","CS","NAdj","CS_NAdj","notMLWO","CS_notMLWO","notCWH","CS_notCWH","Preferred",5,"magazine"," magazine",441,4.889965,8,55.125,"Go","continue","no","reads","A librarian reads a magazine roja durante el almuerzo.",71.48224641,494.5210526,255.8732463,767.619739,76.67,88.89,"Yes","high_proficiency",19.86785714
"1",1,"EngSpan","English","English --> Spanish",164,"eng8g","CS","NAdj","CS_NAdj","notMLWO","CS_notMLWO","notCWH","CS_notCWH","Preferred",6,"roja"," ro_ja",735,29.076925,4,183.75,"Go","continue","no","reads","A librarian reads a magazine roja durante el almuerzo.",71.48224641,494.5210526,255.8732463,767.619739,76.67,88.89,"Yes","high_proficiency",19.86785714
"1",1,"EngSpan","English","English --> Spanish",164,"eng8g","CS","NAdj","CS_NAdj","notMLWO","CS_notMLWO","notCWH","CS_notCWH","Preferred",7,"durante"," dur_ante",788,11.651526,7,112.5714286,"Go","continue","no","reads","A librarian reads a magazine roja durante el almuerzo.",71.48224641,494.5210526,255.8732463,767.619739,76.67,88.89,"Yes","high_proficiency",19.86785714
"1",1,"EngSpan","English","English --> Spanish",164,"eng8g","CS","NAdj","CS_NAdj","notMLWO","CS_notMLWO","notCWH","CS_notCWH","Preferred",8,"el"," el",295,1.4434695,2,147.5,"Go","continue","no","reads","A librarian reads a magazine roja durante el almuerzo.",71.48224641,494.5210526,255.8732463,767.619739,76.67,88.89,"Yes","high_proficiency",19.86785714
"1",1,"EngSpan","English","English --> English",155,"eng6i","noCS","NAdj","noCS_NAdj","notMLWO","noCS_notMLWO","notCWH","noCS_notCWH","Preferred",1,"Mrs",".",744,0.22457455,3,248,"Go","continue","no","cooks","Mrs. Harris cooks a chicken white in the pan.",59.34942905,494.5210526,255.8732463,767.619739,76.67,88.89,"Yes","high_proficiency",19.86785714
"1",1,"EngSpan","English","English --> English",155,"eng6i","noCS","NAdj","noCS_NAdj","notMLWO","noCS_notMLWO","notCWH","noCS_notCWH","Preferred",2,"Harris"," Harris",460,6.124886,6,76.66666667,"Go","continue","no","cooks","Mrs. Harris cooks a chicken white in the pan.",59.34942905,494.5210526,255.8732463,767.619739,76.67,88.89,"Yes","high_proficiency",19.86785714
