"starting_lang","lang_switch","cs","word_order","condition","mlwo","mlwo_condition","cwh","cwh_condition","sentence_id","sentence","total_surprisal","word_no","word","tokenized_word","word_surprisal"
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",2,"The host bakes the German cazuela en la tarde.",78.91233721,2," host"," host",8.45614
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",2,"The host bakes the German cazuela en la tarde.",78.91233721,3," bakes"," b_akes",14.166
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",2,"The host bakes the German cazuela en la tarde.",78.91233721,4," the"," the",1.875282
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",2,"The host bakes the German cazuela en la tarde.",78.91233721,5," German"," German",11.678985
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",2,"The host bakes the German cazuela en la tarde.",78.91233721,6," cazuela"," c_az_uel_a",19.25939312
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",2,"The host bakes the German cazuela en la tarde.",78.91233721,7," en"," en",11.265968
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",2,"The host bakes the German cazuela en la tarde.",78.91233721,8," la"," la",2.843565
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",2,"The host bakes the German cazuela en la tarde.",78.91233721,9," tarde"," t_arde_.",9.3670041
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",6,"A doctor drinks the red vino en la acogida.",78.6063731,2," doctor"," doctor",9.285589
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",6,"A doctor drinks the red vino en la acogida.",78.6063731,3," drinks"," drinks",12.113591
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",6,"A doctor drinks the red vino en la acogida.",78.6063731,4," the"," the",3.8553894
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",6,"A doctor drinks the red vino en la acogida.",78.6063731,5," red"," red",6.104998
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",6,"A doctor drinks the red vino en la acogida.",78.6063731,6," vino"," v_ino",13.9287625
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",6,"A doctor drinks the red vino en la acogida.",78.6063731,7," en"," en",13.865952
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",6,"A doctor drinks the red vino en la acogida.",78.6063731,8," la"," la",1.6335412
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",6,"A doctor drinks the red vino en la acogida.",78.6063731,9," acogida"," ac_og_ida_.",17.81855
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",10,"The niece peels a yellow zanahoria en el lavabo.",80.26898657,2," niece"," niece",13.097522
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",10,"The niece peels a yellow zanahoria en el lavabo.",80.26898657,3," peels"," pe_els",13.5782611
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",10,"The niece peels a yellow zanahoria en el lavabo.",80.26898657,4," a"," a",3.9335988
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",10,"The niece peels a yellow zanahoria en el lavabo.",80.26898657,5," yellow"," yellow",6.4242187
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",10,"The niece peels a yellow zanahoria en el lavabo.",80.26898657,6," zanahoria"," z_an_ah_oria",22.95178683
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",10,"The niece peels a yellow zanahoria en el lavabo.",80.26898657,7," en"," en",10.675011
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",10,"The niece peels a yellow zanahoria en el lavabo.",80.26898657,8," el"," el",2.8191745
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",10,"The niece peels a yellow zanahoria en el lavabo.",80.26898657,9," lavabo"," lav_abo_.",6.78941364
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",14,"Ms. Jones inhales the gray humo en el campamento.",77.46591049,1,"",".",1.5334516
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",14,"Ms. Jones inhales the gray humo en el campamento.",77.46591049,2," Jones"," Jones",5.587207
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",14,"Ms. Jones inhales the gray humo en el campamento.",77.46591049,3," inhales"," inh_ales",13.4588394
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",14,"Ms. Jones inhales the gray humo en el campamento.",77.46591049,4," the"," the",2.5723598
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",14,"Ms. Jones inhales the gray humo en el campamento.",77.46591049,5," gray"," gray",11.949899
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",14,"Ms. Jones inhales the gray humo en el campamento.",77.46591049,6," humo"," hum_o",18.333543
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",14,"Ms. Jones inhales the gray humo en el campamento.",77.46591049,7," en"," en",12.103219
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",14,"Ms. Jones inhales the gray humo en el campamento.",77.46591049,8," el"," el",1.4820414
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",14,"Ms. Jones inhales the gray humo en el campamento.",77.46591049,9," campamento"," camp_ament_o_.",10.44535029
