"starting_lang","lang_switch","cs","sensical","condition","sentence_id","sentence","total_surprisal","word_no","word","tokenized_word","word_surprisal"
"English","English --> Spanish","CS","nonsense","CS_nonsense",2,"The child spills a carrera en la mesa.",62.69555808,2," child"," child",8.086147
"English","English --> Spanish","CS","nonsense","CS_nonsense",2,"The child spills a carrera en la mesa.",62.69555808,3," spills"," spills",12.141431
"English","English --> Spanish","CS","nonsense","CS_nonsense",2,"The child spills a carrera en la mesa.",62.69555808,4," a"," a",3.1151006
"English","English --> Spanish","CS","nonsense","CS_nonsense",2,"The child spills a carrera en la mesa.",62.69555808,5," carrera"," car_rera",23.7064425
"English","English --> Spanish","CS","nonsense","CS_nonsense",2,"The child spills a carrera en la mesa.",62.69555808,6," en"," en",8.115117
"English","English --> Spanish","CS","nonsense","CS_nonsense",2,"The child spills a carrera en la mesa.",62.69555808,7," la"," la",2.5858874
"English","English --> Spanish","CS","nonsense","CS_nonsense",2,"The child spills a carrera en la mesa.",62.69555808,8," mesa"," mes_a_.",4.94543258
"English","English --> Spanish","CS","nonsense","CS_nonsense",6,"The janitor sips the ajedrez en la tienda.",69.73534282,2," janitor"," jan_itor",12.05536865
"English","English --> Spanish","CS","nonsense","CS_nonsense",6,"The janitor sips the ajedrez en la tienda.",69.73534282,3," sips"," s_ips",15.913121
"English","English --> Spanish","CS","nonsense","CS_nonsense",6,"The janitor sips the ajedrez en la tienda.",69.73534282,4," the"," the",4.351532
"English","English --> Spanish","CS","nonsense","CS_nonsense",6,"The janitor sips the ajedrez en la tienda.",69.73534282,5," ajedrez"," a_j_ed_rez",20.90106099
"English","English --> Spanish","CS","nonsense","CS_nonsense",6,"The janitor sips the ajedrez en la tienda.",69.73534282,6," en"," en",7.8303804
"English","English --> Spanish","CS","nonsense","CS_nonsense",6,"The janitor sips the ajedrez en la tienda.",69.73534282,7," la"," la",1.2969935
"English","English --> Spanish","CS","nonsense","CS_nonsense",6,"The janitor sips the ajedrez en la tienda.",69.73534282,8," tienda"," ti_enda_.",7.386886279
"English","English --> Spanish","CS","nonsense","CS_nonsense",10,"The fox consumes a fondo en el charco.",70.00256131,2," fox"," fox",10.832819
"English","English --> Spanish","CS","nonsense","CS_nonsense",10,"The fox consumes a fondo en el charco.",70.00256131,3," consumes"," consumes",12.685488
"English","English --> Spanish","CS","nonsense","CS_nonsense",10,"The fox consumes a fondo en el charco.",70.00256131,4," a"," a",2.5779016
"English","English --> Spanish","CS","nonsense","CS_nonsense",10,"The fox consumes a fondo en el charco.",70.00256131,5," fondo"," fond_o",21.0325003
"English","English --> Spanish","CS","nonsense","CS_nonsense",10,"The fox consumes a fondo en el charco.",70.00256131,6," en"," en",10.392763
"English","English --> Spanish","CS","nonsense","CS_nonsense",10,"The fox consumes a fondo en el charco.",70.00256131,7," el"," el",1.1271254
"English","English --> Spanish","CS","nonsense","CS_nonsense",10,"The fox consumes a fondo en el charco.",70.00256131,8," charco"," char_co_.",11.35396401
"English","English --> Spanish","CS","nonsense","CS_nonsense",14,"A playwright writes the espejo en el sótano.",65.49831639,2," playwright"," play_wright",12.4402802
"English","English --> Spanish","CS","nonsense","CS_nonsense",14,"A playwright writes the espejo en el sótano.",65.49831639,3," writes"," writes",5.116665
"English","English --> Spanish","CS","nonsense","CS_nonsense",14,"A playwright writes the espejo en el sótano.",65.49831639,4," the"," the",1.9327469
"English","English --> Spanish","CS","nonsense","CS_nonsense",14,"A playwright writes the espejo en el sótano.",65.49831639,5," espejo"," es_pe_jo",26.146913
"English","English --> Spanish","CS","nonsense","CS_nonsense",14,"A playwright writes the espejo en el sótano.",65.49831639,6," en"," en",4.988935
"English","English --> Spanish","CS","nonsense","CS_nonsense",14,"A playwright writes the espejo en el sótano.",65.49831639,7," el"," el",0.6573789
"English","English --> Spanish","CS","nonsense","CS_nonsense",14,"A playwright writes the espejo en el sótano.",65.49831639,8," sótano"," s_ó_t_ano_.",14.21539739
"English","English --> Spanish","CS","nonsense","CS_nonsense",18,"The aunt devours the cena en la cocina.",58.31255106,2," aunt"," aunt",11.921952
"English","English --> Spanish","CS","nonsense","CS_nonsense",18,"The aunt devours the cena en la cocina.",58.31255106,3," devours"," dev_ours",14.3086944
"English","English --> Spanish","CS","nonsense","CS_nonsense",18,"The aunt devours the cena en la cocina.",58.31255106,4," the"," the",0.8679261
"English","English --> Spanish","CS","nonsense","CS_nonsense",18,"The aunt devours the cena en la cocina.",58.31255106,5," cena"," c_ena",17.980112
"English","English --> Spanish","CS","nonsense","CS_nonsense",18,"The aunt devours the cena en la cocina.",58.31255106,6," en"," en",9.91827
"English","English --> Spanish","CS","nonsense","CS_nonsense",18,"The aunt devours the cena en la cocina.",58.31255106,7," la"," la",1.6649003
"English","English --> Spanish","CS","nonsense","CS_nonsense",18,"The aunt devours the cena en la cocina.",58.31255106,8," cocina"," coc_ina_.",1.650696256
"English","English --> Spanish","CS","nonsense","CS_nonsense",40,"The nephew chews the ascensor en su casa.",66.2664547,2," nephew"," nephew",11.8014145
"English","English --> Spanish","CS","nonsense","CS_nonsense",40,"The nephew chews the ascensor en su casa.",66.2664547,3," chews"," che_ws",12.9141385
"English","English --> Spanish","CS","nonsense","CS_nonsense",40,"The nephew chews the ascensor en su casa.",66.2664547,4," the"," the",2.3647125
"English","English --> Spanish","CS","nonsense","CS_nonsense",40,"The nephew chews the ascensor en su casa.",66.2664547,5," ascensor"," asc_ensor",20.2946435
"English","English --> Spanish","CS","nonsense","CS_nonsense",40,"The nephew chews the ascensor en su casa.",66.2664547,6," en"," en",9.435343
"English","English --> Spanish","CS","nonsense","CS_nonsense",40,"The nephew chews the ascensor en su casa.",66.2664547,7," su"," su",3.673033
"English","English --> Spanish","CS","nonsense","CS_nonsense",40,"The nephew chews the ascensor en su casa.",66.2664547,8," casa"," cas_a_.",5.7831697
"English","English --> Spanish","CS","nonsense","CS_nonsense",44,"A guide fries the nube en la olla.",75.16383283,2," guide"," guide",8.8249855
"English","English --> Spanish","CS","nonsense","CS_nonsense",44,"A guide fries the nube en la olla.",75.16383283,3," fries"," fries",18.856
"English","English --> Spanish","CS","nonsense","CS_nonsense",44,"A guide fries the nube en la olla.",75.16383283,4," the"," the",3.802234
"English","English --> Spanish","CS","nonsense","CS_nonsense",44,"A guide fries the nube en la olla.",75.16383283,5," nube"," n_ube",20.1977515
"English","English --> Spanish","CS","nonsense","CS_nonsense",44,"A guide fries the nube en la olla.",75.16383283,6," en"," en",11.002837
"English","English --> Spanish","CS","nonsense","CS_nonsense",44,"A guide fries the nube en la olla.",75.16383283,7," la"," la",2.7506123
"English","English --> Spanish","CS","nonsense","CS_nonsense",44,"A guide fries the nube en la olla.",75.16383283,8," olla"," o_lla_.",9.72941253
"English","English --> Spanish","CS","nonsense","CS_nonsense",48,"A businessman flies the barco sobre el estado.",66.9856779,2," businessman"," businessman",10.740047
"English","English --> Spanish","CS","nonsense","CS_nonsense",48,"A businessman flies the barco sobre el estado.",66.9856779,3," flies"," flies",8.620321
"English","English --> Spanish","CS","nonsense","CS_nonsense",48,"A businessman flies the barco sobre el estado.",66.9856779,4," the"," the",5.7067223
"English","English --> Spanish","CS","nonsense","CS_nonsense",48,"A businessman flies the barco sobre el estado.",66.9856779,5," barco"," bar_co",19.397144
"English","English --> Spanish","CS","nonsense","CS_nonsense",48,"A businessman flies the barco sobre el estado.",66.9856779,6," sobre"," so_bre",7.30340825
"English","English --> Spanish","CS","nonsense","CS_nonsense",48,"A businessman flies the barco sobre el estado.",66.9856779,7," el"," el",0.22082245
"English","English --> Spanish","CS","nonsense","CS_nonsense",48,"A businessman flies the barco sobre el estado.",66.9856779,8," estado"," est_ado_.",14.9972129
"English","English --> Spanish","CS","nonsense","CS_nonsense",52,"The nurse eats the ensayo en el vestíbulo.",71.00605874,2," nurse"," nurse",9.218169
"English","English --> Spanish","CS","nonsense","CS_nonsense",52,"The nurse eats the ensayo en el vestíbulo.",71.00605874,3," eats"," eats",12.073461
"English","English --> Spanish","CS","nonsense","CS_nonsense",52,"The nurse eats the ensayo en el vestíbulo.",71.00605874,4," the"," the",2.3552566
"English","English --> Spanish","CS","nonsense","CS_nonsense",52,"The nurse eats the ensayo en el vestíbulo.",71.00605874,5," ensayo"," ens_ay_o",24.5537038
"English","English --> Spanish","CS","nonsense","CS_nonsense",52,"The nurse eats the ensayo en el vestíbulo.",71.00605874,6," en"," en",9.779004
"English","English --> Spanish","CS","nonsense","CS_nonsense",52,"The nurse eats the ensayo en el vestíbulo.",71.00605874,7," el"," el",2.8744154
"English","English --> Spanish","CS","nonsense","CS_nonsense",52,"The nurse eats the ensayo en el vestíbulo.",71.00605874,8," vestíbulo"," vest_í_bul_o_.",10.15204895
"English","English --> Spanish","CS","nonsense","CS_nonsense",56,"The uncle cooks a puente con los frijoles.",68.37329438,2," uncle"," uncle",11.630616
"English","English --> Spanish","CS","nonsense","CS_nonsense",56,"The uncle cooks a puente con los frijoles.",68.37329438,3," cooks"," cooks",10.867428
"English","English --> Spanish","CS","nonsense","CS_nonsense",56,"The uncle cooks a puente con los frijoles.",68.37329438,4," a"," a",4.2983174
"English","English --> Spanish","CS","nonsense","CS_nonsense",56,"The uncle cooks a puente con los frijoles.",68.37329438,5," puente"," pu_ente",22.125293
"English","English --> Spanish","CS","nonsense","CS_nonsense",56,"The uncle cooks a puente con los frijoles.",68.37329438,6," con"," con",7.895276
"English","English --> Spanish","CS","nonsense","CS_nonsense",56,"The uncle cooks a puente con los frijoles.",68.37329438,7," los"," los",5.353475
"English","English --> Spanish","CS","nonsense","CS_nonsense",56,"The uncle cooks a puente con los frijoles.",68.37329438,8," frijoles"," fri_j_oles_.",6.202888983
"English","English --> Spanish","CS","nonsense","CS_nonsense",82,"Ms. Gómez peels a cuchara en la encimera.",66.94239764,1,"",".",1.533457
"English","English --> Spanish","CS","nonsense","CS_nonsense",82,"Ms. Gómez peels a cuchara en la encimera.",66.94239764,2," Gómez"," G_ó_me_z",11.10061369
"English","English --> Spanish","CS","nonsense","CS_nonsense",82,"Ms. Gómez peels a cuchara en la encimera.",66.94239764,3," peels"," pe_els",16.6470615
"English","English --> Spanish","CS","nonsense","CS_nonsense",82,"Ms. Gómez peels a cuchara en la encimera.",66.94239764,4," a"," a",3.037359
"English","English --> Spanish","CS","nonsense","CS_nonsense",82,"Ms. Gómez peels a cuchara en la encimera.",66.94239764,5," cuchara"," c_uch_ara",18.2478728
"English","English --> Spanish","CS","nonsense","CS_nonsense",82,"Ms. Gómez peels a cuchara en la encimera.",66.94239764,6," en"," en",8.19881
"English","English --> Spanish","CS","nonsense","CS_nonsense",82,"Ms. Gómez peels a cuchara en la encimera.",66.94239764,7," la"," la",0.8552721
"English","English --> Spanish","CS","nonsense","CS_nonsense",82,"Ms. Gómez peels a cuchara en la encimera.",66.94239764,8," encimera"," enc_im_era_.",7.321951585
"English","English --> Spanish","CS","nonsense","CS_nonsense",86,"The firefighter inhales the idioma en la fábrica.",75.17294359,2," firefighter"," firefighter",12.080774
"English","English --> Spanish","CS","nonsense","CS_nonsense",86,"The firefighter inhales the idioma en la fábrica.",75.17294359,3," inhales"," inh_ales",9.31156593
"English","English --> Spanish","CS","nonsense","CS_nonsense",86,"The firefighter inhales the idioma en la fábrica.",75.17294359,4," the"," the",1.7024989
"English","English --> Spanish","CS","nonsense","CS_nonsense",86,"The firefighter inhales the idioma en la fábrica.",75.17294359,5," idioma"," idi_oma",29.9963015
"English","English --> Spanish","CS","nonsense","CS_nonsense",86,"The firefighter inhales the idioma en la fábrica.",75.17294359,6," en"," en",8.444081
"English","English --> Spanish","CS","nonsense","CS_nonsense",86,"The firefighter inhales the idioma en la fábrica.",75.17294359,7," la"," la",3.5007358
"English","English --> Spanish","CS","nonsense","CS_nonsense",86,"The firefighter inhales the idioma en la fábrica.",75.17294359,8," fábrica"," f_á_b_rica_.",10.13698646
"English","English --> Spanish","CS","nonsense","CS_nonsense",90,"Ms. García drinks the banco en la reunión.",66.51199035,1,"",".",1.5332494
"English","English --> Spanish","CS","nonsense","CS_nonsense",90,"Ms. García drinks the banco en la reunión.",66.51199035,2," García"," Garc_ía",10.36222723
"English","English --> Spanish","CS","nonsense","CS_nonsense",90,"Ms. García drinks the banco en la reunión.",66.51199035,3," drinks"," drinks",12.693057
"English","English --> Spanish","CS","nonsense","CS_nonsense",90,"Ms. García drinks the banco en la reunión.",66.51199035,4," the"," the",4.66067
"English","English --> Spanish","CS","nonsense","CS_nonsense",90,"Ms. García drinks the banco en la reunión.",66.51199035,5," banco"," ban_co",18.9156665
"English","English --> Spanish","CS","nonsense","CS_nonsense",90,"Ms. García drinks the banco en la reunión.",66.51199035,6," en"," en",9.534473
"English","English --> Spanish","CS","nonsense","CS_nonsense",90,"Ms. García drinks the banco en la reunión.",66.51199035,7," la"," la",1.9565498
"English","English --> Spanish","CS","nonsense","CS_nonsense",90,"Ms. García drinks the banco en la reunión.",66.51199035,8," reunión"," reun_i_ón_.",6.856097417
"English","English --> Spanish","CS","nonsense","CS_nonsense",94,"Mr. Thompson bakes the dolor para la fiesta.",59.79921416,1,"",".",0.40568966
"English","English --> Spanish","CS","nonsense","CS_nonsense",94,"Mr. Thompson bakes the dolor para la fiesta.",59.79921416,2," Thompson"," Thompson",7.332242
"English","English --> Spanish","CS","nonsense","CS_nonsense",94,"Mr. Thompson bakes the dolor para la fiesta.",59.79921416,3," bakes"," b_akes",12.2674491
"English","English --> Spanish","CS","nonsense","CS_nonsense",94,"Mr. Thompson bakes the dolor para la fiesta.",59.79921416,4," the"," the",2.1411977
"English","English --> Spanish","CS","nonsense","CS_nonsense",94,"Mr. Thompson bakes the dolor para la fiesta.",59.79921416,5," dolor"," d_olor",21.13296
"English","English --> Spanish","CS","nonsense","CS_nonsense",94,"Mr. Thompson bakes the dolor para la fiesta.",59.79921416,6," para"," para",10.543843
"English","English --> Spanish","CS","nonsense","CS_nonsense",94,"Mr. Thompson bakes the dolor para la fiesta.",59.79921416,7," la"," la",3.9011505
"English","English --> Spanish","CS","nonsense","CS_nonsense",94,"Mr. Thompson bakes the dolor para la fiesta.",59.79921416,8," fiesta"," f_iesta_.",2.0746822
"English","English --> Spanish","CS","nonsense","CS_nonsense",98,"Mr. Wilson sings a tortuga en la escuela.",60.65860615,1,"",".",0.4055822
"English","English --> Spanish","CS","nonsense","CS_nonsense",98,"Mr. Wilson sings a tortuga en la escuela.",60.65860615,2," Wilson"," Wilson",6.4098935
"English","English --> Spanish","CS","nonsense","CS_nonsense",98,"Mr. Wilson sings a tortuga en la escuela.",60.65860615,3," sings"," sings",11.192009
"English","English --> Spanish","CS","nonsense","CS_nonsense",98,"Mr. Wilson sings a tortuga en la escuela.",60.65860615,4," a"," a",3.3912516
"English","English --> Spanish","CS","nonsense","CS_nonsense",98,"Mr. Wilson sings a tortuga en la escuela.",60.65860615,5," tortuga"," tort_uga",20.0508423
"English","English --> Spanish","CS","nonsense","CS_nonsense",98,"Mr. Wilson sings a tortuga en la escuela.",60.65860615,6," en"," en",10.0436325
"English","English --> Spanish","CS","nonsense","CS_nonsense",98,"Mr. Wilson sings a tortuga en la escuela.",60.65860615,7," la"," la",0.93946886
"English","English --> Spanish","CS","nonsense","CS_nonsense",98,"Mr. Wilson sings a tortuga en la escuela.",60.65860615,8," escuela"," esc_uel_a_.",8.22592622
"English","English --> Spanish","CS","nonsense","CS_nonsense",121,"A patient swallows a cama en la oficina.",63.17823316,2," patient"," patient",9.588203
"English","English --> Spanish","CS","nonsense","CS_nonsense",121,"A patient swallows a cama en la oficina.",63.17823316,3," swallows"," swall_ows",9.384875422
"English","English --> Spanish","CS","nonsense","CS_nonsense",121,"A patient swallows a cama en la oficina.",63.17823316,4," a"," a",0.44484442
"English","English --> Spanish","CS","nonsense","CS_nonsense",121,"A patient swallows a cama en la oficina.",63.17823316,5," cama"," c_ama",18.529128
"English","English --> Spanish","CS","nonsense","CS_nonsense",121,"A patient swallows a cama en la oficina.",63.17823316,6," en"," en",11.94537
"English","English --> Spanish","CS","nonsense","CS_nonsense",121,"A patient swallows a cama en la oficina.",63.17823316,7," la"," la",3.4341302
"English","English --> Spanish","CS","nonsense","CS_nonsense",121,"A patient swallows a cama en la oficina.",63.17823316,8," oficina"," of_ic_ina_.",9.851682117
"English","English --> Spanish","CS","nonsense","CS_nonsense",125,"A chemist pours the caballo en el cuenco.",67.76652316,2," chemist"," chemist",12.77843
"English","English --> Spanish","CS","nonsense","CS_nonsense",125,"A chemist pours the caballo en el cuenco.",67.76652316,3," pours"," p_ours",8.200484578
"English","English --> Spanish","CS","nonsense","CS_nonsense",125,"A chemist pours the caballo en el cuenco.",67.76652316,4," the"," the",4.6982436
"English","English --> Spanish","CS","nonsense","CS_nonsense",125,"A chemist pours the caballo en el cuenco.",67.76652316,5," caballo"," cab_allo",25.411835
"English","English --> Spanish","CS","nonsense","CS_nonsense",125,"A chemist pours the caballo en el cuenco.",67.76652316,6," en"," en",7.070872
"English","English --> Spanish","CS","nonsense","CS_nonsense",125,"A chemist pours the caballo en el cuenco.",67.76652316,7," el"," el",1.8087915
"English","English --> Spanish","CS","nonsense","CS_nonsense",125,"A chemist pours the caballo en el cuenco.",67.76652316,8," cuenco"," cu_en_co_.",7.797866485
"English","English --> Spanish","CS","nonsense","CS_nonsense",129,"A cousin dances a pepino en la boda.",70.70300072,2," cousin"," cousin",10.580179
"English","English --> Spanish","CS","nonsense","CS_nonsense",129,"A cousin dances a pepino en la boda.",70.70300072,3," dances"," dances",12.998224
"English","English --> Spanish","CS","nonsense","CS_nonsense",129,"A cousin dances a pepino en la boda.",70.70300072,4," a"," a",4.876823
"English","English --> Spanish","CS","nonsense","CS_nonsense",129,"A cousin dances a pepino en la boda.",70.70300072,5," pepino"," p_ep_ino",22.6507495
"English","English --> Spanish","CS","nonsense","CS_nonsense",129,"A cousin dances a pepino en la boda.",70.70300072,6," en"," en",11.1103945
"English","English --> Spanish","CS","nonsense","CS_nonsense",129,"A cousin dances a pepino en la boda.",70.70300072,7," la"," la",0.87038136
"English","English --> Spanish","CS","nonsense","CS_nonsense",129,"A cousin dances a pepino en la boda.",70.70300072,8," boda"," b_oda_.",7.61624936
"English","English --> Spanish","CS","nonsense","CS_nonsense",133,"A coach chugs the papel en el campo.",61.85817746,2," coach"," coach",9.994592
"English","English --> Spanish","CS","nonsense","CS_nonsense",133,"A coach chugs the papel en el campo.",61.85817746,3," chugs"," ch_ugs",14.5877206
"English","English --> Spanish","CS","nonsense","CS_nonsense",133,"A coach chugs the papel en el campo.",61.85817746,4," the"," the",4.4310327
"English","English --> Spanish","CS","nonsense","CS_nonsense",133,"A coach chugs the papel en el campo.",61.85817746,5," papel"," pap_el",17.616539
"English","English --> Spanish","CS","nonsense","CS_nonsense",133,"A coach chugs the papel en el campo.",61.85817746,6," en"," en",7.9412847
"English","English --> Spanish","CS","nonsense","CS_nonsense",133,"A coach chugs the papel en el campo.",61.85817746,7," el"," el",1.6630559
"English","English --> Spanish","CS","nonsense","CS_nonsense",133,"A coach chugs the papel en el campo.",61.85817746,8," campo"," camp_o_.",5.623952563
"English","English --> Spanish","CS","nonsense","CS_nonsense",137,"A librarian reads a rana durante el almuerzo.",69.92515549,2," librarian"," l_ibrarian",12.7142354
"English","English --> Spanish","CS","nonsense","CS_nonsense",137,"A librarian reads a rana durante el almuerzo.",69.92515549,3," reads"," reads",7.1898465
"English","English --> Spanish","CS","nonsense","CS_nonsense",137,"A librarian reads a rana durante el almuerzo.",69.92515549,4," a"," a",1.5282273
"English","English --> Spanish","CS","nonsense","CS_nonsense",137,"A librarian reads a rana durante el almuerzo.",69.92515549,5," rana"," r_ana",20.896058
"English","English --> Spanish","CS","nonsense","CS_nonsense",137,"A librarian reads a rana durante el almuerzo.",69.92515549,6," durante"," dur_ante",15.9547696
"English","English --> Spanish","CS","nonsense","CS_nonsense",137,"A librarian reads a rana durante el almuerzo.",69.92515549,7," el"," el",2.72769
"English","English --> Spanish","CS","nonsense","CS_nonsense",137,"A librarian reads a rana durante el almuerzo.",69.92515549,8," almuerzo"," al_m_uer_zo_.",8.914328694
"English","English --> Spanish","CS","sense","CS_sense",0,"A runner chugs the agua en la pista.",51.32932921,2," runner"," runner",10.796345
"English","English --> Spanish","CS","sense","CS_sense",0,"A runner chugs the agua en la pista.",51.32932921,3," chugs"," ch_ugs",11.3208913
"English","English --> Spanish","CS","sense","CS_sense",0,"A runner chugs the agua en la pista.",51.32932921,4," the"," the",5.2031174
"English","English --> Spanish","CS","sense","CS_sense",0,"A runner chugs the agua en la pista.",51.32932921,5," agua"," ag_ua",10.99229024
"English","English --> Spanish","CS","sense","CS_sense",0,"A runner chugs the agua en la pista.",51.32932921,6," en"," en",7.535685
"English","English --> Spanish","CS","sense","CS_sense",0,"A runner chugs the agua en la pista.",51.32932921,7," la"," la",1.0826435
"English","English --> Spanish","CS","sense","CS_sense",0,"A runner chugs the agua en la pista.",51.32932921,8," pista"," pist_a_.",4.398356767
"English","English --> Spanish","CS","sense","CS_sense",4,"A guest dances a vals en la fiesta.",53.25012869,2," guest"," guest",9.634466
"English","English --> Spanish","CS","sense","CS_sense",4,"A guest dances a vals en la fiesta.",53.25012869,3," dances"," dances",11.150701
"English","English --> Spanish","CS","sense","CS_sense",4,"A guest dances a vals en la fiesta.",53.25012869,4," a"," a",3.8567398
"English","English --> Spanish","CS","sense","CS_sense",4,"A guest dances a vals en la fiesta.",53.25012869,5," vals"," v_als",9.90565
"English","English --> Spanish","CS","sense","CS_sense",4,"A guest dances a vals en la fiesta.",53.25012869,6," en"," en",11.230942
"English","English --> Spanish","CS","sense","CS_sense",4,"A guest dances a vals en la fiesta.",53.25012869,7," la"," la",1.5092721
"English","English --> Spanish","CS","sense","CS_sense",4,"A guest dances a vals en la fiesta.",53.25012869,8," fiesta"," f_iesta_.",5.96235779
"English","English --> Spanish","CS","sense","CS_sense",8,"A child reads a revista durante la clase.",53.77533825,2," child"," child",8.635959
"English","English --> Spanish","CS","sense","CS_sense",8,"A child reads a revista durante la clase.",53.77533825,3," reads"," reads",8.211555
"English","English --> Spanish","CS","sense","CS_sense",8,"A child reads a revista durante la clase.",53.77533825,4," a"," a",0.8305039
"English","English --> Spanish","CS","sense","CS_sense",8,"A child reads a revista durante la clase.",53.77533825,5," revista"," rev_ista",21.100706
"English","English --> Spanish","CS","sense","CS_sense",8,"A child reads a revista durante la clase.",53.77533825,6," durante"," dur_ante",11.33432617
"English","English --> Spanish","CS","sense","CS_sense",8,"A child reads a revista durante la clase.",53.77533825,7," la"," la",1.9612837
"English","English --> Spanish","CS","sense","CS_sense",8,"A child reads a revista durante la clase.",53.77533825,8," clase"," cl_ase_.",1.701004483
"English","English --> Spanish","CS","sense","CS_sense",12,"A cousin pours the tinte sobre la cobija.",75.48813721,2," cousin"," cousin",10.580179
"English","English --> Spanish","CS","sense","CS_sense",12,"A cousin pours the tinte sobre la cobija.",75.48813721,3," pours"," p_ours",15.0871054
"English","English --> Spanish","CS","sense","CS_sense",12,"A cousin pours the tinte sobre la cobija.",75.48813721,4," the"," the",3.1199965
"English","English --> Spanish","CS","sense","CS_sense",12,"A cousin pours the tinte sobre la cobija.",75.48813721,5," tinte"," tint_e",18.261386
"English","English --> Spanish","CS","sense","CS_sense",12,"A cousin pours the tinte sobre la cobija.",75.48813721,6," sobre"," so_bre",14.640182
"English","English --> Spanish","CS","sense","CS_sense",12,"A cousin pours the tinte sobre la cobija.",75.48813721,7," la"," la",2.2677984
"English","English --> Spanish","CS","sense","CS_sense",12,"A cousin pours the tinte sobre la cobija.",75.48813721,8," cobija"," cob_ija_.",11.53148991
